task,Vtr_exact,Vtr_shots100,Vtr_shots1000
0,0.21159207052652804,0.2675384663349398,0.21140438735668843
1,0.25613342063514777,0.2560147202123899,0.25469502048775555
2,0.20088120630442452,0.18850868185317837,0.19858165920568138
3,0.16475629541908549,0.15604693963023172,0.1656587269144078
4,0.1864219938008467,0.16164359057434244,0.19681964014856873
5,0.19211313101291203,0.2095829995611699,0.20243717499969519
6,0.23364285454414305,0.2653974744646902,0.23990354404764527
7,0.249494256015755,0.273264437024103,0.24734951997377308
8,0.18241598388026842,0.1698823646583718,0.16902823096264066
9,0.20571542807916351,0.23980779113868614,0.22828110464581122
10,0.20280766491081006,0.18265025514679553,0.20438529981323897
11,0.16902396934662403,0.16774476752005396,0.16499915463437564
12,0.24287513001237362,0.2702119689040248,0.2467521693281546
13,0.2833798706631391,0.3163987311534577,0.28542663184215605
14,0.25097464644266154,0.24190294158444461,0.25309462285783785
15,0.1774714637153285,0.16176685287304726,0.1688440824795933
16,0.2168164975032019,0.2601305707258043,0.211999904604881
17,0.22984544611933244,0.2273391872580872,0.2386225753580529
18,0.22923728212244995,0.2024967672578468,0.22518451427941022
19,0.1867715692999174,0.19200280164495673,0.19224577397328166
20,0.2154508790818395,0.19903279086159073,0.21279416915989374
21,0.2853406927372847,0.2772809421973768,0.2755093020124724
22,0.24230997499997867,0.23944914916321283,0.23551795167249343
23,0.213347536853721,0.22255455278737962,0.2179492049138827
24,0.24183091793774322,0.21721659316565872,0.251752181426045
25,0.22449973294622755,0.2375009881690404,0.22222880397513675
26,0.16991985198305515,0.16550635791179236,0.162576533898667
27,0.20254787020621426,0.2057716237949361,0.2033589647753067
28,0.2205127016106089,0.23169379533358783,0.22200842035536797
29,0.23702608927488697,0.22147532098371364,0.24250826106858261
