n,L,seed,cv_gtr,mean_norm_gtr,rho_A_Ival,rho_A_Ival_K1,rho_A_G
4,2,0,0.328637509627924,0.3326731039145362,0.7268667466986795,0.9564945978391356,-0.43932773109243695
4,2,1,0.29469348680519347,0.3649493871745008,0.7857382953181272,0.9646578631452579,-0.5830972388955582
4,2,2,0.3540397379316949,0.31401870376966295,0.7735414165666267,0.9461224489795919,-0.5397839135654262
4,3,0,0.25995817957349193,0.414762943682958,0.7672028811524609,0.9734933973589435,-0.48667466986794716
4,3,1,0.24944446119807437,0.40026351343976324,0.7831452581032412,0.9629291716686673,-0.4998319327731093
4,3,2,0.27702309031519046,0.37944936203137447,0.2985354141656662,0.9648499399759904,-0.3273469387755102
4,5,0,0.3048828015384321,0.5322176883820517,0.4970468187274909,0.9661944777911164,-0.5363265306122449
4,5,1,0.24846643927056186,0.40286759082819157,0.4844657863145258,0.9483313325330133,-0.3996638655462184
4,5,2,0.34000594157927694,0.4645734023618175,0.4187755102040816,0.9717647058823529,-0.48081632653061224
6,2,0,0.26466465278470613,0.23876091197372726,0.6260264105642256,0.974453781512605,-0.5149099639855942
6,2,1,0.27085977764217184,0.2394085208708368,0.8529651860744298,0.9734933973589435,-0.6627130852340937
6,2,2,0.28434221186853564,0.24877975321312795,0.8124369747899159,0.9728211284513805,-0.2921968787515006
6,3,0,0.22383441756510813,0.26451660638965335,0.5228811524609843,0.9433373349339735,-0.25512605042016806
6,3,1,0.21840228100372863,0.2922154216724914,0.7529891956782714,0.9704201680672269,-0.2154621848739496
6,3,2,0.25642925325467475,0.29846637833470185,0.7197599039615846,0.9727250900360144,-0.5987515006002401
6,5,0,0.24509295128522604,0.351090904493729,0.7494357743097239,0.9645618247298918,-0.6106602641056423
6,5,1,0.262685324475607,0.32096948412519927,0.4044657863145258,0.9476590636254502,-0.1762785114045618
6,5,2,0.21900947200068394,0.3391047469183903,0.5539975990396159,0.9497719087635053,-0.45680672268907563
8,2,0,0.17822888541004195,0.218267068814696,0.819735894357743,0.9764705882352941,-0.1899159663865546
8,2,1,0.20903359194244092,0.19481291741811244,0.756734693877551,0.9548619447779112,-0.08072028811524609
8,2,2,0.20068320648644083,0.2066867787841207,0.8393277310924369,0.9856902761104441,-0.4607442977190876
8,3,0,0.20751320079974558,0.2295657639815579,0.8162785114045618,0.9694597839135655,-0.34511404561824727
8,3,1,0.2452156448646622,0.2270362579776047,0.868235294117647,0.9843457382953181,-0.33560624249699883
8,3,2,0.2056758940208052,0.25148850126217653,0.7887154861944776,0.9826170468187275,-0.4115726290516207
8,5,0,0.2265661341778488,0.3038466146266279,0.7998559423769507,0.9794477791116446,-0.6120048019207682
8,5,1,0.19282012397268827,0.2674226616050873,0.5666746698679471,0.9804081632653061,-0.4994477791116447
8,5,2,0.13898849080030767,0.28282492434331274,0.5107803121248499,0.9647539015606243,-0.4376950780312125
10,2,0,0.19014418716341,0.16489191740054657,0.924705882352941,0.9794477791116446,-0.3275390156062425
10,2,1,0.20927091180116775,0.12988963275429163,0.9245138055222089,0.9821368547418967,-0.1398799519807923
10,2,2,0.18604920842107633,0.15836203785199005,0.9099159663865545,0.9814645858343337,-0.3310924369747899
10,3,0,0.17740199986473235,0.1944453403195393,0.8158943577430973,0.9900120048019206,-0.06698679471788715
10,3,1,0.15505721877388517,0.1566102929303836,0.7958223289315726,0.967827130852341,-0.20153661464585834
10,3,2,0.14700446108871434,0.18184489472435353,0.9136614645858343,0.984921968787515,-0.1640816326530612
10,5,0,0.1833142639596744,0.25785386585817316,0.695174069627851,0.984921968787515,-0.39063625450180073
10,5,1,0.1951610826825959,0.19797720197394086,0.8669867947178871,0.9720528211284514,-0.44288115246098436
10,5,2,0.18293014616457245,0.2067418812291649,0.8698679471788715,0.9848259303721489,-0.4827370948379352
