condition,pred,rho_G,p,rho_Igap,rho_Itr
reptile,drift,-0.0841832970354238,0.30572903879617386,0.6646997644339749,0.9998862171652073
drift_light,drift,-0.10737366105160231,0.19092868125320966,0.6208613716165163,0.9999644428641273
variance_light,drift,0.11191430730254677,0.1727294199795751,0.5565420685363794,0.9859549313302813
full_bqml_light,drift,0.09368416374061071,0.2541599354869551,0.5410711587181652,0.9892261878305704
full_bqml_strong,drift,0.2274536646073159,0.005122777727154618,0.5607698119916441,0.9413378372372105
reptile,v_tr,-0.01483621494288635,0.8569989779439787,0.07110538246144274,0.03187519445308681
drift_light,v_tr,-0.03300946708742611,0.6884134459497012,0.030890261789412864,-0.01777323436597182
variance_light,v_tr,-0.008009244855326903,0.9225089768844418,0.07911640517356328,0.028721276501177832
full_bqml_light,v_tr,-0.024916662962798344,0.7621492125213183,0.026082937019423085,-0.008510600471132052
full_bqml_strong,v_tr,-0.025553135694919772,0.7562618479994848,-0.05569847548779947,-0.03799457753677942
